timestamp_ms,epoch_s,cpu_percent,mem_used_kb,mem_available_kb,mem_total_kb
1773506487318,1773506487,0,464852,7662972,8127824
1773506488356,1773506488,22,465276,7662548,8127824
1773506489397,1773506489,25,468552,7659272,8127824
1773506490863,1773506490,18,470788,7657036,8127824
1773506491902,1773506491,28,470148,7657676,8127824
1773506492956,1773506492,26,470588,7657236,8127824
1773506493991,1773506493,26,470780,7657044,8127824
1773506495050,1773506495,25,470780,7657044,8127824
1773506496076,1773506496,25,470492,7657332,8127824
1773506497106,1773506497,26,470220,7657604,8127824
1773506498128,1773506498,26,470156,7657668,8127824
1773506499165,1773506499,25,469792,7658032,8127824
1773506500189,1773506500,26,469792,7658032,8127824
1773506501224,1773506501,25,469760,7658064,8127824
1773506502247,1773506502,26,469264,7658560,8127824
1773506503275,1773506503,26,469568,7658256,8127824
1773506504298,1773506504,27,469564,7658260,8127824
1773506505320,1773506505,27,469644,7658180,8127824
1773506506362,1773506506,25,469512,7658312,8127824
1773506507441,1773506507,26,469336,7658488,8127824
1773506508465,1773506508,25,472440,7655384,8127824
1773506509496,1773506509,26,477760,7650064,8127824
1773506510519,1773506510,26,479732,7648092,8127824
1773506511544,1773506511,25,481344,7646480,8127824
1773506512565,1773506512,27,479024,7648800,8127824
1773506513597,1773506513,25,471540,7656284,8127824
1773506514645,1773506514,25,476916,7650908,8127824
1773506515690,1773506515,25,469788,7658036,8127824
1773506516736,1773506516,25,475104,7652720,8127824
1773506517771,1773506517,24,481040,7646784,8127824
1773506518808,1773506518,25,473348,7654476,8127824
1773506519832,1773506519,25,478408,7649416,8127824
1773506520855,1773506520,27,471256,7656568,8127824
1773506521884,1773506521,28,477328,7650496,8127824
1773506522925,1773506522,25,479368,7648456,8127824
1773506523948,1773506523,25,482392,7645432,8127824
1773506524981,1773506524,26,471764,7656060,8127824
1773506526039,1773506526,28,472912,7654912,8127824
1773506527087,1773506527,26,479980,7647844,8127824
1773506528124,1773506528,27,480928,7646896,8127824
1773506529163,1773506529,27,479760,7648064,8127824
