timestamp_ms,epoch_s,cpu_percent,mem_used_kb,mem_available_kb,mem_total_kb
1773053793880,1773053793,0,568808,7559008,8127816
1773053794908,1773053794,7,578604,7549212,8127816
1773053795975,1773053795,25,578348,7549468,8127816
1773053797002,1773053797,27,578516,7549300,8127816
1773053798029,1773053798,25,579008,7548808,8127816
1773053799102,1773053799,26,579060,7548756,8127816
1773053800123,1773053800,28,579072,7548744,8127816
1773053801143,1773053801,26,578992,7548824,8127816
1773053802169,1773053802,25,579036,7548780,8127816
1773053803199,1773053803,27,578840,7548976,8127816
1773053804223,1773053804,27,578408,7549408,8127816
1773053805247,1773053805,25,578260,7549556,8127816
1773053806270,1773053806,25,578028,7549788,8127816
1773053807294,1773053807,26,577728,7550088,8127816
1773053808344,1773053808,27,577780,7550036,8127816
1773053809364,1773053809,28,577600,7550216,8127816
1773053810387,1773053810,26,577172,7550644,8127816
1773053811434,1773053811,26,578720,7549096,8127816
1773053812485,1773053812,27,584352,7543464,8127816
1773053813504,1773053813,26,587960,7539856,8127816
1773053814555,1773053814,25,587372,7540444,8127816
1773053815581,1773053815,26,584908,7542908,8127816
1773053816611,1773053816,28,577512,7550304,8127816
1773053817645,1773053817,26,583608,7544208,8127816
1773053818721,1773053818,26,576140,7551676,8127816
1773053819768,1773053819,26,581712,7546104,8127816
1773053820798,1773053820,25,574940,7552876,8127816
1773053821838,1773053821,27,580404,7547412,8127816
1773053822905,1773053822,25,586400,7541416,8127816
1773053823949,1773053823,26,585820,7541996,8127816
1773053824990,1773053824,25,583328,7544488,8127816
1773053826023,1773053826,25,580052,7547764,8127816
1773053827053,1773053827,27,581788,7546028,8127816
1773053828145,1773053828,25,578164,7549652,8127816
1773053829191,1773053829,26,577900,7549916,8127816
1773053830227,1773053830,27,583344,7544472,8127816
1773053831266,1773053831,25,581872,7545944,8127816
1773053832297,1773053832,26,581404,7546412,8127816
1773053833336,1773053833,25,582896,7544920,8127816
1773053834381,1773053834,25,583848,7543968,8127816
1773053835419,1773053835,25,576836,7550980,8127816
1773053836456,1773053836,25,583224,7544592,8127816
1773053837554,1773053837,25,584008,7543808,8127816
1773053838577,1773053838,25,584488,7543328,8127816
1773053839597,1773053839,26,584352,7543464,8127816
1773053840624,1773053840,27,584952,7542864,8127816
1773053841684,1773053841,25,584968,7542848,8127816
1773053842710,1773053842,25,585112,7542704,8127816
1773053843735,1773053843,25,584976,7542840,8127816
1773053844796,1773053844,26,585448,7542368,8127816
1773053845839,1773053845,25,585088,7542728,8127816
1773053846879,1773053846,25,584880,7542936,8127816
1773053847913,1773053847,25,584808,7543008,8127816
1773053848971,1773053848,27,584856,7542960,8127816
1773053850018,1773053850,25,584960,7542856,8127816
1773053851096,1773053851,28,585368,7542448,8127816
1773053852136,1773053852,25,585216,7542600,8127816
1773053853168,1773053853,25,585504,7542312,8127816
1773053854198,1773053854,25,585832,7541984,8127816
1773053855236,1773053855,26,586200,7541616,8127816
1773053856273,1773053856,30,585988,7541828,8127816
1773053857330,1773053857,26,585684,7542132,8127816
1773053858387,1773053858,27,585672,7542144,8127816
1773053859454,1773053859,25,585768,7542048,8127816
1773053860502,1773053860,26,586068,7541748,8127816
1773053861537,1773053861,25,586292,7541524,8127816
1773053862585,1773053862,25,586232,7541584,8127816
1773053863613,1773053863,24,586592,7541224,8127816
1773053864650,1773053864,25,586924,7540892,8127816
1773053865679,1773053865,25,586860,7540956,8127816
1773053866726,1773053866,28,586892,7540924,8127816
1773053867756,1773053867,25,586764,7541052,8127816
1773053868783,1773053868,26,586796,7541020,8127816
1773053869851,1773053869,27,586924,7540892,8127816
1773053870935,1773053870,25,586892,7540924,8127816
1773053871989,1773053871,26,587236,7540580,8127816
1773053873059,1773053873,24,587168,7540648,8127816
1773053874095,1773053874,25,587136,7540680,8127816
1773053875127,1773053875,25,587232,7540584,8127816
1773053876165,1773053876,25,587448,7540368,8127816
1773053877190,1773053877,25,587572,7540244,8127816
1773053878280,1773053878,26,587572,7540244,8127816
1773053879313,1773053879,24,587652,7540164,8127816
1773053880333,1773053880,24,587224,7540592,8127816
1773053881365,1773053881,25,587160,7540656,8127816
1773053882385,1773053882,25,588408,7539408,8127816
1773053883459,1773053883,24,587948,7539868,8127816
1773053884520,1773053884,24,588200,7539616,8127816
1773053885565,1773053885,25,588316,7539500,8127816
1773053886718,1773053886,25,588496,7539320,8127816
1773053887769,1773053887,25,588360,7539456,8127816
1773053888824,1773053888,25,588316,7539500,8127816
1773053889859,1773053889,26,588244,7539572,8127816
1773053890928,1773053890,25,588556,7539260,8127816
1773053891974,1773053891,25,588324,7539492,8127816
1773053893049,1773053893,25,588476,7539340,8127816
1773053894081,1773053894,25,588404,7539412,8127816
1773053895120,1773053895,25,588332,7539484,8127816
1773053896149,1773053896,25,588988,7538828,8127816
1773053897176,1773053897,25,588996,7538820,8127816
1773053898269,1773053898,25,588952,7538864,8127816
1773053899344,1773053899,25,589304,7538512,8127816
1773053900390,1773053900,25,589564,7538252,8127816
1773053901411,1773053901,25,589888,7537928,8127816
1773053902448,1773053902,25,590148,7537668,8127816
1773053903469,1773053903,25,590500,7537316,8127816
1773053904495,1773053904,25,590428,7537388,8127816
1773053905524,1773053905,25,590736,7537080,8127816
1773053906552,1773053906,26,591668,7536148,8127816
1773053907600,1773053907,25,591136,7536680,8127816
1773053908636,1773053908,25,591012,7536804,8127816
1773053909715,1773053909,25,591388,7536428,8127816
1773053910760,1773053910,25,591440,7536376,8127816
1773053911787,1773053911,26,591016,7536800,8127816
1773053912849,1773053912,25,591060,7536756,8127816
1773053913876,1773053913,26,591452,7536364,8127816
1773053914901,1773053914,25,591380,7536436,8127816
1773053915935,1773053915,25,590956,7536860,8127816
1773053916960,1773053916,27,591120,7536696,8127816
1773053917992,1773053917,25,590972,7536844,8127816
