job_id,label,node,wall_clock_s,peak_cpu_percent,avg_cpu_percent,peak_mem_used_kb,exit_status,timestamp
217,podman_osu,slurm-worker-node-01,3688.221,45,23,597196,0,2026-03-09T23:09:20+01:00
217,podman_osu,slurm-worker-node-02,3688.221,42,25,548084,0,2026-03-09T23:09:20+01:00
