job_id,label,node,wall_clock_s,peak_cpu_percent,avg_cpu_percent,peak_mem_used_kb,exit_status,timestamp
304,podman_ior,slurm-worker-node-01,399.591,100,31,666416,0,2026-03-13T18:32:56+01:00
304,podman_ior,slurm-worker-node-02,399.591,100,29,666460,0,2026-03-13T18:32:56+01:00
