timestamp_ms,epoch_s,cpu_percent,mem_used_kb,mem_available_kb,mem_total_kb
1773059539629,1773059539,27,557484,7570344,8127828
1773059540665,1773059540,1,558208,7569620,8127828
1773059541689,1773059541,1,558448,7569380,8127828
1773059542715,1773059542,72,573992,7553836,8127828
1773059543787,1773059543,100,613104,7514724,8127828
1773059547477,1773059547,100,605292,7522536,8127828
1773059551082,1773059551,100,605116,7522712,8127828
1773059554935,1773059554,100,604216,7523612,8127828
1773059558716,1773059558,100,604664,7523164,8127828
1773059562731,1773059562,100,604740,7523088,8127828
1773059566369,1773059566,100,605524,7522304,8127828
1773059573293,1773059573,100,604272,7523556,8127828
1773059576644,1773059576,100,604940,7522888,8127828
1773059579396,1773059579,100,603824,7524004,8127828
1773059582395,1773059582,100,603772,7524056,8127828
1773059585154,1773059585,100,603564,7524264,8127828
1773059588190,1773059588,100,603280,7524548,8127828
1773059590891,1773059590,100,602516,7525312,8127828
1773059593605,1773059593,100,601828,7526000,8127828
1773059596447,1773059596,100,602668,7525160,8127828
1773059599165,1773059599,100,602488,7525340,8127828
1773059604481,1773059604,100,597208,7530620,8127828
1773059607597,1773059607,100,598708,7529120,8127828
1773059610347,1773059610,100,595672,7532156,8127828
1773059612880,1773059612,100,594604,7533224,8127828
1773059615351,1773059615,100,593580,7534248,8127828
1773059618119,1773059618,100,593092,7534736,8127828
1773059620726,1773059620,100,593068,7534760,8127828
1773059623302,1773059623,100,591780,7536048,8127828
1773059625553,1773059625,100,591116,7536712,8127828
1773059627602,1773059627,100,591072,7536756,8127828
1773059629289,1773059629,19,564728,7563100,8127828
1773059630914,1773059630,100,555768,7572060,8127828
1773059635589,1773059635,100,558880,7568948,8127828
1773059639611,1773059639,7,560164,7567664,8127828
1773059642259,1773059642,100,561376,7566452,8127828
1773059645902,1773059645,100,562060,7565768,8127828
1773059649362,1773059649,100,561108,7566720,8127828
1773059653347,1773059653,100,559628,7568200,8127828
1773059657282,1773059657,100,562108,7565720,8127828
1773059659972,1773059659,100,563040,7564788,8127828
1773059663603,1773059663,100,563004,7564824,8127828
1773059666455,1773059666,100,563240,7564588,8127828
1773059669153,1773059669,100,563452,7564376,8127828
1773059671685,1773059671,100,563092,7564736,8127828
1773059675826,1773059675,100,562812,7565016,8127828
1773059678703,1773059678,100,566576,7561252,8127828
1773059681183,1773059681,100,564060,7563768,8127828
1773059685458,1773059685,100,563788,7564040,8127828
1773059692137,1773059692,100,563864,7563964,8127828
1773059697666,1773059697,100,564328,7563500,8127828
1773059701603,1773059701,100,564400,7563428,8127828
1773059704624,1773059704,100,564992,7562836,8127828
1773059709419,1773059709,100,564172,7563656,8127828
1773059712788,1773059712,100,567008,7560820,8127828
1773059716465,1773059716,100,564264,7563564,8127828
1773059720511,1773059720,100,564604,7563224,8127828
1773059726032,1773059726,100,564108,7563720,8127828
1773059729678,1773059729,100,564036,7563792,8127828
1773059732777,1773059732,100,559756,7568072,8127828
1773059737189,1773059737,100,564596,7563232,8127828
1773059742807,1773059742,100,564276,7563552,8127828
1773059746299,1773059746,100,563388,7564440,8127828
1773059749347,1773059749,100,565116,7562712,8127828
1773059753287,1773059753,100,564924,7562904,8127828
1773059757895,1773059757,100,564340,7563488,8127828
1773059761008,1773059761,100,564260,7563568,8127828
1773059763972,1773059763,100,563520,7564308,8127828
1773059766608,1773059766,100,564196,7563632,8127828
1773059772537,1773059772,100,563724,7564104,8127828
1773059778115,1773059778,100,562888,7564940,8127828
1773059782173,1773059782,100,565192,7562636,8127828
1773059785635,1773059785,100,565748,7562080,8127828
1773059788942,1773059788,100,564968,7562860,8127828
1773059791975,1773059791,100,565148,7562680,8127828
1773059795425,1773059795,100,574340,7553488,8127828
1773059798967,1773059798,100,574996,7552832,8127828
1773059800984,1773059800,97,574368,7553460,8127828
1773059802915,1773059802,79,563776,7564052,8127828
1773059803974,1773059803,0,563460,7564368,8127828
1773059804995,1773059804,0,563700,7564128,8127828
1773059806015,1773059806,0,564192,7563636,8127828
1773059807039,1773059807,0,564444,7563384,8127828
1773059808090,1773059808,0,564696,7563132,8127828
1773059809173,1773059809,0,564940,7562888,8127828
1773059810217,1773059810,1,564684,7563144,8127828
1773059811252,1773059811,0,564680,7563148,8127828
1773059812328,1773059812,0,565156,7562672,8127828
1773059813353,1773059813,0,564972,7562856,8127828
1773059814397,1773059814,0,564892,7562936,8127828
1773059815422,1773059815,0,565144,7562684,8127828
1773059816463,1773059816,1,564640,7563188,8127828
