timestamp_ms,epoch_s,cpu_percent,mem_used_kb,mem_available_kb,mem_total_kb
1773670220272,1773670220,0,537820,7590004,8127824
1773670221305,1773670221,91,582296,7545528,8127824
1773670222326,1773670222,92,632660,7495164,8127824
1773670226533,1773670226,100,641632,7486192,8127824
1773670234248,1773670234,100,641976,7485848,8127824
1773670237792,1773670237,100,637164,7490660,8127824
1773670241393,1773670241,100,641172,7486652,8127824
1773670244885,1773670244,100,639584,7488240,8127824
1773670247633,1773670247,100,641572,7486252,8127824
1773670250567,1773670250,100,641916,7485908,8127824
1773670252793,1773670252,100,639816,7488008,8127824
1773670255112,1773670255,100,638456,7489368,8127824
1773670258456,1773670258,100,639560,7488264,8127824
1773670260171,1773670260,100,637196,7490628,8127824
1773670261969,1773670261,100,638236,7489588,8127824
1773670264043,1773670264,100,635112,7492712,8127824
1773670265750,1773670265,100,635012,7492812,8127824
1773670267678,1773670267,100,634832,7492992,8127824
1773670269674,1773670269,100,635184,7492640,8127824
1773670271612,1773670271,100,634564,7493260,8127824
1773670273263,1773670273,100,634580,7493244,8127824
1773670274853,1773670274,100,636112,7491712,8127824
1773670276882,1773670276,100,634972,7492852,8127824
1773670278976,1773670278,100,633164,7494660,8127824
1773670280801,1773670280,100,635744,7492080,8127824
1773670282672,1773670282,100,633836,7493988,8127824
1773670284257,1773670284,100,634428,7493396,8127824
1773670285888,1773670285,100,634948,7492876,8127824
1773670287476,1773670287,100,636132,7491692,8127824
1773670289952,1773670289,100,634664,7493160,8127824
1773670291739,1773670291,100,635744,7492080,8127824
1773670293577,1773670293,100,634924,7492900,8127824
1773670295597,1773670295,100,619508,7508316,8127824
1773670297409,1773670297,100,620408,7507416,8127824
1773670299028,1773670299,100,620460,7507364,8127824
1773670300865,1773670300,100,619516,7508308,8127824
1773670302673,1773670302,100,618052,7509772,8127824
1773670304743,1773670304,100,616172,7511652,8127824
1773670306322,1773670306,100,616092,7511732,8127824
1773670307906,1773670307,22,547124,7580700,8127824
1773670308952,1773670308,100,610944,7516880,8127824
1773670311922,1773670311,74,599236,7528588,8127824
1773670314333,1773670314,100,602736,7525088,8127824
1773670319134,1773670319,100,605080,7522744,8127824
1773670321945,1773670321,100,606592,7521232,8127824
1773670324630,1773670324,100,607020,7520804,8127824
1773670327658,1773670327,100,608760,7519064,8127824
1773670331710,1773670331,25,608768,7519056,8127824
1773670334836,1773670334,100,608856,7518968,8127824
1773670338452,1773670338,100,609244,7518580,8127824
1773670342160,1773670342,100,609588,7518236,8127824
1773670345828,1773670345,100,611040,7516784,8127824
1773670349304,1773670349,100,611280,7516544,8127824
1773670352343,1773670352,100,611504,7516320,8127824
1773670357079,1773670357,100,611652,7516172,8127824
1773670359728,1773670359,100,610824,7517000,8127824
