job_id,label,node,wall_clock_s,peak_cpu_percent,avg_cpu_percent,peak_mem_used_kb,exit_status,timestamp
312,slurm_osu,slurm-worker-node-01,1724.060,30,25,512752,0,2026-03-14T19:12:45+01:00
312,slurm_osu,slurm-worker-node-02,1724.060,43,24,496336,0,2026-03-14T19:12:45+01:00
